stringsfile version 1
2562
str_no_string NO_STRING!
str_tutorial_5_msg_5 {!}NOT_USED
str_tutorial_5_msg_6 {!}NOT_USED
str_trainer_help_1 {!}NOT_USED
str_trainer_help_2 {!}NOT_USED
str_custom_battle_1 {!}NOT_USED
str_custom_battle_2 {!}NOT_USED
str_custom_battle_3 {!}NOT_USED
str_custom_battle_4 {!}NOT_USED
str_custom_battle_5 {!}NOT_USED
str_custom_battle_6 {!}NOT_USED
str_custom_battle_7 {!}NOT_USED
str_custom_battle_8 {!}NOT_USED
str_custom_battle_9 {!}NOT_USED
str_custom_battle_10 {!}NOT_USED
str_custom_battle_11 {!}NOT_USED
str_finished (Finished)
str_delivered_damage Delivered_{reg60}_damage.
str_archery_target_hit Distance:_{reg61}_yards._Score:_{reg60}
str_use_baggage_for_inventory Use_your_baggage_to_access_your_inventory_during_a_battle._(It_is_at_your_starting_position.)
str_cant_use_inventory_now Cannot_access_inventory_now.
str_cant_use_inventory_arena Cannot_access_inventory_in_the_arena.
str_cant_use_inventory_disguised Cannot_access_inventory_while_you_are_disguised.
str_cant_use_inventory_tutorial {!}NOT_USED
str_1_denar 1_thaler
str_reg1_denars {reg1}_thaler
str_january_reg1_reg2 January_{reg1},_{reg2}
str_february_reg1_reg2 February_{reg1},_{reg2}
str_march_reg1_reg2 March_{reg1},_{reg2}
str_april_reg1_reg2 April_{reg1},_{reg2}
str_may_reg1_reg2 May_{reg1},_{reg2}
str_june_reg1_reg2 June_{reg1},_{reg2}
str_july_reg1_reg2 July_{reg1},_{reg2}
str_august_reg1_reg2 August_{reg1},_{reg2}
str_september_reg1_reg2 September_{reg1},_{reg2}
str_october_reg1_reg2 October_{reg1},_{reg2}
str_november_reg1_reg2 November_{reg1},_{reg2}
str_december_reg1_reg2 December_{reg1},_{reg2}
str_town_nighttime _It_is_late_at_night,_and_honest_folk_have_deserted_the_streets.
str_door_locked The_door_is_locked.
str_castle_is_abondened The_fortress_seems_to_be_unoccupied.
str_town_is_abondened {!}NOT_USED
str_place_is_occupied_by_player The_place_is_held_by_your_own_troops.
str_place_is_occupied_by_enemy The_place_is_held_by_hostile_troops.
str_place_is_occupied_by_friendly {!}NOT_USED
str_do_you_want_to_retreat Are_you_sure_you_wish_to_retreat?
str_give_up_fight Give_up_the_fight?
str_do_you_wish_to_leave_tutorial Do_you_wish_to_leave_the_tutorial?
str_do_you_wish_to_surrender Do_you_wish_to_surrender?
str_can_not_retreat You_cannot_retreat!_There_are_enemies_nearby!
str_s1_joined_battle_enemy {s1}_has_joined_the_battle_on_the_enemy_side.
str_s1_joined_battle_friend {s1}_has_joined_the_battle_on_your_side.
str_entrance_to_town_forbidden The_town_guards_will_easily_detect_an_impostor._You_won't_be_able_to_pass_through_the_gates_unchallenged.
str_sneaking_to_town_impossible The_town_guards_are_alarmed._You_wouldn't_be_able_to_sneak_through_the_gate,_no_matter_how_well_you_disguise_yourself.
str_battle_won The_battle_is_won!
str_battle_lost The_battle_is_lost!
str_attack_walls_success After_a_fierce_battle,_your_brave_soldiers_manage_to_seize_the_walls_from_the_enemy.
str_attack_walls_failure Your_soldiers_fall_in_waves_as_they_charge_the_walls,_and_the_few_who_remain_soon_rout_and_run_for_their_lives,_never_to_be_seen_again.
str_attack_walls_continue A_bloody_battle_ensues,_with_both_sides_fighting_with_great_valor._But_despite_the_efforts_of_your_troops,_the_fortress_remains_in_enemy_hands.
str_order_attack_success Your_men_fight_bravely,_and_defeat_the_enemy.
str_order_attack_failure You_watch_the_battle_in_despair_as_the_enemy_easily_cuts_down_your_soldiers_and_drives_off_the_few_ragged_survivors.
str_order_attack_continue Despite_a_long_and_wearing_battle,_your_troops_were_unable_to_win_a_decisive_victory.
str_join_order_attack_success Your_men_fought_well_alongside_your_allies,_sharing_in_the_glory_as_your_enemies_are_crushed.
str_join_order_attack_failure You_watch_the_battle_in_despair_as_the_enemy_easily_cuts_down_your_soldiers_and_drives_off_the_few_ragged_survivors.
str_join_order_attack_continue Despite_a_fierce_battle,_neither_your_troops_nor_your_allies_were_able_to_win_a_decisive_victory_over_the_enemy.
str_siege_defender_order_attack_success The_men_of_the_garrison_hold_the_walls_with_skill_and_courage,_breaking_the_enemy_assault_and_skillfully_turning_the_threat_into_a_full-fledged_rout.
str_siege_defender_order_attack_failure The_assault_quickly_turns_into_a_bloodbath._Valiant_defense_efforts_are_for_naught;_the_overmatched_garrison_cannot_hold_the_walls,_and_the_enemy_puts_every_last_defender_to_the_sword.
str_siege_defender_order_attack_continue Repeated,_bloody_attempts_on_the_walls_fail_to_gain_a_decisive_foothold,_but_too_many_enemies_yet_remain_for_the_defenders_to_claim_a_true_victory._The_siege_continues.
str_hero_taken_prisoner {s1}_of_{s3}_has_been_taken_prisoner_by_{s2}.
str_hero_freed {s1}_of_{s3}_has_been_freed_from_captivity_by_{s2}.
str_center_captured {s2}_have_taken_{s1}_from_{s3}.
str_troop_relation_increased Your_relation_with_{s1}_has_increased_from_{reg1}_to_{reg2}.
str_troop_relation_detoriated Your_relation_with_{s1}_has_deteriorated_from_{reg1}_to_{reg2}.
str_faction_relation_increased Your_relation_with_{s1}_has_increased_from_{reg1}_to_{reg2}.
str_faction_relation_detoriated Your_relation_with_{s1}_has_deteriorated_from_{reg1}_to_{reg2}.
str_party_gained_morale Your_party_gains_{reg1}_morale.
str_party_lost_morale Your_party_loses_{reg1}_morale.
str_other_party_gained_morale {!}NOT_USED
str_other_party_lost_morale {!}NOT_USED
str_qst_follow_spy_noticed_you The_spy_has_spotted_you!_He's_making_a_run_for_it!
str_father father
str_husband husband
str_wife wife
str_daughter daughter
str_mother mother
str_son son
str_brother brother
str_sister sister
str_he He
str_she She
str_s3s_s2 {s3}'s_{s2}
str_s5_is_s51 {s5}_is_{s51}.
str_s5_is_the_ruler_of_s51 {s5}_is_the_ruler_of_{s51}._
str_s5_is_a_nobleman_of_s6 {s5}_is_a_nobleman_of_{s6}._
str_relation_mnus_100 _______________Hostility
str_relation_mnus_90 _______________Hostility
str_relation_mnus_80 _______________Hostility
str_relation_mnus_70 _______________Hatred
str_relation_mnus_60 _______________Hatred
str_relation_mnus_50 _______________Resentment
str_relation_mnus_40 _______________Resentment
str_relation_mnus_30 _______________Suspicion
str_relation_mnus_20 _______________Suspicion
str_relation_mnus_10 _______________Indifference
str_relation_plus_0 _______________Indifference
str_relation_plus_10 _______________Indifference
str_relation_plus_20 _______________Sympathy
str_relation_plus_30 _______________Sympathy
str_relation_plus_40 _______________Support
str_relation_plus_50 _______________Support
str_relation_plus_60 _______________Friendliness
str_relation_plus_70 _______________Friendliness
str_relation_plus_80 _______________Devotion
str_relation_plus_90 _______________Devotion
str_relation_mnus_100_ns {s60}_is_vengeful_towards_you.
str_relation_mnus_90_ns {s60}_is_vengeful_towards_you.
str_relation_mnus_80_ns {s60}_is_vengeful_towards_you.
str_relation_mnus_70_ns {s60}_is_hateful_towards_you.
str_relation_mnus_60_ns {s60}_is_hateful_towards_you.
str_relation_mnus_50_ns {s60}_is_hostile_towards_you.
str_relation_mnus_40_ns {s60}_is_angry_towards_you.
str_relation_mnus_30_ns {s60}_is_resentful_towards_you.
str_relation_mnus_20_ns {s60}_is_grumbling_against_you.
str_relation_mnus_10_ns {s60}_is_suspicious_towards_you.
str_relation_plus_0_ns {s60}_is_indifferent_against_you.
str_relation_plus_10_ns {s60}_is_cooperative_towards_you.
str_relation_plus_20_ns {s60}_is_welcoming_towards_you.
str_relation_plus_30_ns {s60}_is_favorable_to_you.
str_relation_plus_40_ns {s60}_is_supportive_of_you.
str_relation_plus_50_ns {s60}_is_friendly_to_you.
str_relation_plus_60_ns {s60}_is_gracious_to_you.
str_relation_plus_70_ns {s60}_is_fond_of_you.
str_relation_plus_80_ns {s60}_is_loyal_to_you.
str_relation_plus_90_ns {s60}_is_devoted_to_you.
str_relation_reg1 _Relation:_{reg1}
str_center_relation_mnus_100 The_populace_hates_you_with_a_passion
str_center_relation_mnus_90 The_populace_hates_you_intensely
str_center_relation_mnus_80 The_populace_hates_you_strongly
str_center_relation_mnus_70 The_populace_hates_you
str_center_relation_mnus_60 The_populace_is_hateful_towards_you
str_center_relation_mnus_50 The_populace_is_extremely_hostile_towards_you
str_center_relation_mnus_40 The_populace_is_very_hostile_towards_you
str_center_relation_mnus_30 The_populace_is_hostile_towards_you
str_center_relation_mnus_20 The_populace_is_against_you
str_center_relation_mnus_10 The_populace_is_opposed_to_you
str_center_relation_plus_0 The_populace_is_indifferent_to_you
str_center_relation_plus_10 The_populace_is_accepting_of_you
str_center_relation_plus_20 The_populace_is_cooperative_with_you
str_center_relation_plus_30 The_populace_is_somewhat_supportive_of_you
str_center_relation_plus_40 The_populace_is_supportive_of_you
str_center_relation_plus_50 The_populace_is_very_supportive_of_you
str_center_relation_plus_60 The_populace_is_loyal_to_you
str_center_relation_plus_70 The_populace_is_highly_loyal_to_you
str_center_relation_plus_80 The_populace_is_devoted_to_you
str_center_relation_plus_90 The_populace_is_fiercely_devoted_to_you
str_town_prosperity_0 The_poverty_of_the_town_of_{s60}_is_unbearable
str_town_prosperity_10 The_squalorous_town_of_{s60}_is_all_but_deserted.
str_town_prosperity_20 The_town_of_{s60}_looks_a_wretched,_desolate_place.
str_town_prosperity_30 The_town_of_{s60}_looks_poor_and_neglected.
str_town_prosperity_40 The_town_of_{s60}_appears_to_be_struggling.
str_town_prosperity_50 The_town_of_{s60}_seems_unremarkable.
str_town_prosperity_60 The_town_of_{s60}_seems_to_be_flourishing.
str_town_prosperity_70 The_prosperous_town_of_{s60}_is_bustling_with_activity.
str_town_prosperity_80 The_town_of_{s60}_looks_rich_and_well-maintained.
str_town_prosperity_90 The_town_of_{s60}_is_opulent_and_crowded_with_well-to-do_people.
str_town_prosperity_100 The_glittering_town_of_{s60}_openly_flaunts_its_great_wealth.
str_village_prosperity_0 The_poverty_of_the_village_of_{s60}_is_unbearable.
str_village_prosperity_10 The_village_of_{s60}_looks_wretchedly_poor_and_miserable.
str_village_prosperity_20 The_village_of_{s60}_looks_very_poor_and_desolate.
str_village_prosperity_30 The_village_of_{s60}_looks_poor_and_neglected.
str_village_prosperity_40 The_village_of_{s60}_appears_to_be_somewhat_poor_and_struggling.
str_village_prosperity_50 The_village_of_{s60}_seems_unremarkable.
str_village_prosperity_60 The_village_of_{s60}_seems_to_be_flourishing.
str_village_prosperity_70 The_village_of_{s60}_appears_to_be_thriving.
str_village_prosperity_80 The_village_of_{s60}_looks_rich_and_well-maintained.
str_village_prosperity_90 The_village_of_{s60}_looks_very_rich_and_prosperous.
str_village_prosperity_100 The_village_of_{s60},_surrounded_by_vast,_fertile_fields,_looks_immensely_rich.
str_war_report_minus_4 we_are_about_to_lose_the_war
str_war_report_minus_3 the_situation_looks_bleak
str_war_report_minus_2 things_aren't_going_too_well_for_us
str_war_report_minus_1 we_can_still_win_the_war_if_we_rally
str_war_report_0 we_are_evenly_matched_with_the_enemy
str_war_report_plus_1 we_have_a_fair_chance_of_winning_the_war
str_war_report_plus_2 things_are_going_quite_well
str_war_report_plus_3 we_should_have_no_difficulty_defeating_them
str_war_report_plus_4 we_are_on_the_verge_of_victory
str_persuasion_summary_very_bad You_try_your_best_to_persuade_{s50},_but_none_of_your_arguments_seem_to_come_out_right._Every_time_you_start_to_make_sense,_you_seem_to_say_something_entirely_wrong_that_puts_you_off_track._By_the_time_you_finish_speaking,_you've_failed_to_form_a_single_coherent_point_in_your_favor,_and_you_realize_that_all_you've_done_was_dig_yourself_deeper_into_a_hole._Unsurprisingly,_{s50}_does_not_look_impressed.
str_persuasion_summary_bad You_try_to_persuade_{s50},_but_{reg51?she:he}_outmaneuvers_you_from_the_very_beginning._Even_your_best_arguments_echo_hollow_in_your_own_ears._{s50},_likewise,_has_not_formed_a_very_high_opinion_of_what_you_had_to_say.
str_persuasion_summary_average {s50}_turns_out_to_be_a_skilled_speaker_with_a_keen_mind,_and_you_cannot_seem_to_bring_forth_anything_concrete_that_{reg51?she:he}_cannot_rationally_counter._In_the_end,_neither_of_you_manage_to_gain_any_ground_in_this_discussion.
str_persuasion_summary_good Through_quick_thinking_and_smooth_argumentation,_you_manage_to_state_your_case_well,_forcing_{s50}_to_concede_on_several_points._However,_{reg51?she:he}_still_expresses_some_doubts.
str_persuasion_summary_very_good You_deliver_an_impassioned_speech,_as_convincing_and_gripping_as_fine_poetry._The_world_itself_seems_to_quiet_itself,_in_order_to_hear_you_better._The_inspiring_words_have_moved_{s50}_deeply,_and_{reg51?she:he}_looks_much_more_well-disposed_towards_helping_you.
str_secret_sign_1 The_armoire_dances_at_midnight...
str_secret_sign_2 I_am_selling_these_fine_Turkish_tapestries._Would_you_like_to_buy_some?
str_secret_sign_3 A_friend_of_a_friend_sent_me...
str_secret_sign_4 The_wind_blows_hard_from_the_east_and_the_river_runs_red...
str_countersign_1 But_does_he_dance_for_the_dresser_or_the_candlestick?
str_countersign_2 Yes_I_would,_do_you_have_any_in_blue?
str_countersign_3 But,_my_friend,_your_friend's_friend_will_never_have_a_friend_like_me.
str_countersign_4 Have_you_been_ill?
str_name_1 Sirko
str_name_2 Mozyra
str_name_3 Filon
str_name_4 Buhalo
str_name_5 Nechuy
str_name_6 Rourk
str_name_7 Asmund
str_name_8 Bjorn
str_name_9 Sigvar
str_name_10 Torgreyr
str_name_11 Gunnstein
str_name_12 Chort
str_name_13 Okun
str_name_14 Noseless
str_name_15 Brawler
str_name_16 Walker
str_name_17 Tabash
str_name_18 Zamora
str_name_19 Gudz
str_name_20 Barnabas
str_name_21 Wojciech
str_name_22 Garsha
str_name_23 Baibak
str_name_24 Bakhmet
str_name_25 Akun
str_surname_1 {s50}_Face-mark
str_surname_2 {s50}_the_Ripper
str_surname_3 {s50}_the_Bullseye
str_surname_4 {s50}_the_Lanky
str_surname_5 {s50}_the_Squab
str_surname_6 {s50}_the_Golden-mouth
str_surname_7 {s50}_the_Stormbreaker
str_surname_8 {s50}_the_Greyhair
str_surname_9 {s50}_the_Greedy
str_surname_10 {s50}_the_Goodsoul
str_surname_11 {s50}_the_Lofty
str_surname_12 {s50}_the_Husky
str_surname_13 {s50}_the_Skinny
str_surname_14 {s50}_the_Jackal
str_surname_15 {s50}_the_Braggart
str_surname_16 {s50}_the_Kite
str_surname_17 {s50}_the_Spider
str_surname_18 {s50}_the_Dunce
str_surname_19 {s50}_Big-ear
str_surname_20 {s50}_the_Musket
str_surname_21 {s50}_the_White
str_surname_22 {s50}_the_Black
str_surname_23 {s50}_the_Red
str_surname_24 {s50}_Deathwatch
str_surname_25 {s50}_Ironhand
str_surname_26 {s50}_the_Fool
str_surname_27 {s50}_the_Old
str_surname_28 {s50}_the_Long-armed
str_surname_29 {s50}_the_Boar
str_surname_30 {s50}_the_Humpback
str_surname_31 {s50}_the_Ball
str_surname_32 {s50}_the_Fatty
str_surname_33 {s50}_the_Cheery
str_surname_34 {s50}_the_Gloomy
str_surname_35 {s50}_the_Squint
str_surname_36 {s50}_the_Bee-master
str_surname_37 {s50}_the_Mute
str_surname_38 {s50}_the_Marksman
str_surname_39 {s50}_the_Ladiesman
str_surname_40 {s50}_the_Shroff
str_surname_41 {s50}_the_Wolf
str_surnames_end surnames_end
str_number_of_troops_killed_reg1 Number_of_troops_killed:_{reg1}
str_number_of_troops_wounded_reg1 Number_of_troops_wounded:_{reg1}
str_number_of_own_troops_killed_reg1 Number_of_friendly_troops_killed:_{reg1}
str_number_of_own_troops_wounded_reg1 Number_of_friendly_troops_wounded:_{reg1}
str_retreat Retreat!
str_siege_continues The_fighting_continues...
str_casualty_display Your_casualties:_{s10}^Enemy_casualties:_{s11}{s12}
str_casualty_display_hp ^You_were_wounded_for_{reg1}_hit_points.
str_quest_log_updated The_quest_log_has_been_updated...
str_banner_selection_text You_have_been_awarded_the_right_to_carry_a_banner._Your_banner_will_signify_your_status,_and_bring_you_honor._Which_banner_do_you_choose?
str_retirement_text_1 Only_too_late_do_you_realize_that_your_money_cannot_last._It_doesn't_take_you_long_to_fritter_away_what_little_you_bothered_to_save,_and_you_fare_poorly_in_several_desperate_attempts_to_go_forth_adventuring_again._You_end_up_a_beggar_in_{s9},_living_on_alms_and_the_charity_of_the_church.
str_retirement_text_2 Only_too_late_do_you_realize_that_your_money_cannot_last._It_doesn't_take_you_long_to_fritter_away_what_little_you_bothered_to_save._Once_every_thaler_has_evaporated_from_your_hands,_you_are_reduced_to_a_life_of_crime_in_the_backstreets_of_{s9},_using_your_grim_skills_to_eke_out_a_living,_robbing_coppers_from_women_and_the_poor_townsmen.
str_retirement_text_3 Only_too_late_do_you_realize_that_your_money_cannot_last._It_doesn't_take_you_long_to_fritter_away_what_little_you_bothered_to_save,_and_you_end_up_a_penniless,_drifting_from_tavern_to_tavern,_begging_drinks_from_indulgent_patrons,_regaling_them_with_war_stories_that_no_one_ever_believes.
str_retirement_text_4 The_silver_you've_saved_doesn't_last_long,_but_you_manage_to_put_together_enough_to_buy_some_land_near_the_village_of_{s7}._There_you_become_a_free_farmer,_and_you_soon_begin_to_attract_potential_{wives/husbands}._In_time,_the_villagers_come_to_treat_you_as_their_local_hero._You_always_receive_a_place_of_honor_at_feasts,_and_your_exploits_are_told_and_retold_in_the_pubs_and_taverns,_that_the_young_may_keep_a_memory_of_you_ever_after.
str_retirement_text_5 The_silver_you've_saved_does_not_last_long,_but_it_is_enough_to_buy_a_small_tavern_in_{s9}._Although_the_locals_are_wary_of_you_at_first,_they_soon_come_to_accept_you,_and_in_time,_your_growing_tavern_becomes_a_popular_feast_hall_and_meeting_place._People_come_for_miles_to_eat_or_stay_there,_and_you_are_renown_for_the_epic_stories_you_tell_of_your_adventuring_days.
str_retirement_text_6 You_have_saved_wisely_throughout_your_career,_and_now_your_silver,_and_your_intelligence,_allow_you_to_make_some_excellent_investments_to_cement_your_future._After_buying_several_shops_and_warehouses_in_{s9},_your_shrewdness_turns_you_into_one_of_the_most_prominent_merchants_in_town,_and_you_soon_become_a_wealthy_{man/woman}_known_as_much_for_your_trading_empire_as_your_former_military_exploits.
str_retirement_text_7 As_a_landed_noble,_however_minor,_your_future_is_all_but_assured._You_settle_in_your_hold_at_{s7},_administrating_the_village_and_fields,_adjudicating_the_local_courts_and_fulfilling_your_obligations_to_your_lord._Occasionally_your_lord_calls_you_to_muster_and_command_in_his_campaigns,_but_these_stints_are_brief,_and_you_never_truly_return_to_the_adventuring_days_of_your_youth._You_have_already_made_your_fortune,_and_with_your_own_hall_and_holdings,_you've_few_wants_that_your_personal_wealth_and_the_income_of_your_lands_cannot_afford_you.
str_retirement_text_8 There_is_no_question_that_you_have_done_very_well_for_yourself_indeed._Your_extensive_holdings_and_the_wealth_you_accumulated_in_your_adventures_are_enough_to_guarantee_a_rich_and_easy_life_for_the_rest_of_your_days._Retiring_to_your_noble_seat_in_{s8},_you_exchange_adventure_for_politics,_and_you_soon_establish_yourself_as_a_considerable_power_in_your_nation's_royal_court._When_you_are_not_busied_with_political_intrigue,_you_hunt_your_private_forests,_feast_in_your_hall,_and_tell_your_hundreds_of_fine_war_stories_to_your_guests._You_have_little_trouble_making_the_best_of_the_years_that_follow.
str_retirement_text_9 As_a_reward_for_your_competent_and_loyal_service,_your_lord_decrees_that_you_be_given_a_hereditary_title,_which_places_you_firmly_among_the_major_nobility_of_the_realm._You_are_invested_as_baron_of_{s7},_and_become_one_of_your_lord's_closest_advisors._Your_renown_garners_much_subtle_influence_and_significant_command._You_spend_your_days_playing_the_games_of_power,_administering_your_great_fiefs,_and_recounting_the_old_days_of_adventure_and_glory.
str_retirement_text_10 Though_you_started_from_humble_beginnings,_your_lord_holds_you_in_high_esteem,_and_but_a_small_ripple_of_surprise_passes_through_the_realm_when_he_names_you_to_the_hereditary_title_of_{Count/Countess}_of_{s9}._Vast_fiefs_and_fortunes_are_now_yours_to_command._You_quickly_become_your_lord's_most_trusted_advisor,_almost_his_equal,_and_charged_with_much_of_the_running_of_his_realm._You_sit_upon_a_throne_in_your_own_splendorous_palace,_as_one_of_the_most_powerful_figures_in_the_nation.
str_loot_village attack_the_innocent_villagers
str_steal_from_villagers steal_from_the_poor_villagers
str_rob_caravan {!}NOT_USED
str_sell_slavery {!}NOT_USED
str_men_hungry plunge_into_famine
str_men_unpaid plunge_into_poverty
str_excessive_casualties turn_every_battle_into_a_bloodbath_for_our_side
str_surrender {!}NOT_USED
str_flee_battle run_from_battle
str_pay_bandits {!}NOT_USED
str_fail_quest fail_a_quest_undertaken_on_word_of_honor
str_squander_money squander_money_given_in_trust
str_murder_merchant involve_ourselves_in_cold-blooded_murder
str_round_up_serfs round_up_serfs_on_behalf_of_some_noble
str_battle_fate_1 We_were_separated_in_the_heat_of_battle
str_battle_fate_2 I_was_wounded_and_left_for_dead
str_battle_fate_3 I_was_knocked_senseless_by_the_enemy
str_battle_fate_4 I_was_taken_and_held_for_ransom
str_battle_fate_5 I_got_captured,_but_later_managed_to_escape
str_npc_morale_report I'm_{s6}_your_choice_of_companions,_{s7}_your_leadership,_and_{s8}_the_general_state_of_affairs.
str_happy happy_about
str_content content_with
str_concerned concerned_about
str_not_happy unhappy_with
str_miserable downright_appalled_at
str_morale_reg1 _Morale:_{reg1}
str_bar_enthusiastic ___________________Enthusiastic
str_bar_content ______________Content
str_bar_weary __________Weary
str_bar_disgruntled _____Disgruntled
str_bar_miserable __Miserable
str_here_plus_space here_
str_npc1_intro Ho_there,_traveler._You_wouldn't_by_chance_be_one_of_the_warriors_of_Prince_Yarema?
str_npc2_intro I_beg_your_pardon,_have_we_met_before?
str_npc3_intro My_{son/dear}!_Allow_me_to_bless_your_meal,_and_recite_a_beautiful_and_elaborate_prayer_which_shall_bring_you_luck_in_battle._For_this_I_only_ask_a_few_mugs_of_cool_beer!
str_npc4_intro Greetings,_Cossack!_Would_you_mind_having_a_few_cups_of_vodka_with_me?
str_npc5_intro Herr_Ritter,_would_you_join_me_for_a_drink?
str_npc6_intro Greetings,_stranger!_Are_you_the_one_seeking_men_to_hire?_I_am_a_marksman,_Fedot_is_my_name...
str_npc7_intro If_you're_trying_to_offer_me_a_drink,_you_better_stay_back!
str_npc8_intro Isanmesez!
str_npc9_intro Greetings,_{sir/madam}._Would_you_by_any_chance_hail_from_Lithuania?
str_npc10_intro Victor_de_la_Buscador,_at_your_service!
str_npc11_intro Hello._It_seems_we've_met_before._I_am_in_need_of_your_help.
str_npc12_intro The_color_of_your_face_worries_me,_{sir/madam}._Perhaps_you_should_apply_leeches...
str_npc13_intro If_you_are_seeking_a_fortune-teller,_you_have_came_at_a_bad_time._I_only_tell_fortunes_when_the_moon_is_young.
str_npc14_intro Greetings,_{sir/madam}._The_wine_here_is_disgusting,_wouldn't_you_agree?
str_npc15_intro What_are_you_looking_at?_Want_to_taste_my_rolling-pin?
str_npc16_intro You_going_to_offer_me_ten_thaler_to_enter_your_room?_Be_aware_that_I_have_a_very_sharp_dagger_in_my_hand.
str_npc1_intro_response_1 No,_you_are_mistaken._Anyhow,_perhaps_you_have_seen_Colonel_Zagloba_here?_I_am_looking_for_him.
str_npc2_intro_response_1 Nay,_not_yet._My_name_is_{playername}.
str_npc3_intro_response_1 God_bless,_holy_father!_Why_are_you_wandering_the_pubs,_eh?
str_npc4_intro_response_1 Why_not_sip_a_little_spirit,_if_the_company's_good...
str_npc5_intro_response_1 Aye,_why_not._And_what_would_a_Swedish_musketeer_be_doing_in_these_lands?
str_npc6_intro_response_1 Perhaps_I_am_looking_for_something._Why_is_your_coat_so_worn_out,_and_my,_look_at_that_pole-axe..._Deserted_the_service,_eh?
str_npc7_intro_response_1 Oh_dear_me._I_wouldn't_think_of_it!
